classification,symbol,day,detail,evidence_ref,qualifying_trading_signal,note
INFORMATIONAL_DELIVERY_MISSED,MSFT,2026-09-09,12/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,MSTR,2026-09-08,3/0 queued/sent intelligence_delivery card(s); event(s): REGULATION_FD(BMO);OTHER_MATERIAL_EVENT(BMO);INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,NVDA,2026-09-09,1/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,ORCL,2026-09-10,2/0 queued/sent intelligence_delivery card(s); event(s): EARNINGS_RESULTS(RTH);OTHER_MATERIAL_EVENT(RTH),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,PG,2026-09-10,6/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN);INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,PYPL,2026-09-09,3/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,STX,2026-09-09,3/0 queued/sent intelligence_delivery card(s); event(s): UNREGISTERED_EQUITY_SALE(BMO);REGULATION_FD(BMO);OTHER_MATERIAL_EVENT(BMO),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,TSLA,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,UNH,2026-09-08,1/0 queued/sent intelligence_delivery card(s); event(s): REGULATION_FD(RTH),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,V,2026-09-10,1/0 queued/sent intelligence_delivery card(s); event(s): INSIDER_TRANSACTION(UNKNOWN),ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,VRT,2026-09-09,1/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
INFORMATIONAL_DELIVERY_MISSED,WMT,2026-09-10,4/0 queued/sent intelligence_delivery card(s); event(s): none,ingestion_ledger.db.postclose intelligence_delivery,"NO -- informational only, not a BUY recommendation","outbox never drained (D5); row durable, not lost"
CONFIRMED_QUALIFYING_SIGNAL_MISSED,(none),2026-09-08..10,"0 -- every in-scope code-P issuer (ABCL/ADC/INTC) is a CORRECT_EXCLUSION; ABCL stale, ADC/INTC single-insider near-miss; out-of-scope code-P (MUNEX/NMZ/PML/PMM) are municipal closed-end funds",ingestion_ledger.db insider_transactions (window 2026-07-15..09-11),n/a,V2 contract correctly applied
INSUFFICIENT_EVIDENCE,(Original intraday price outcomes),2026-09-08..10,post-hoc price rise is NOT treated as a missed trade; preserved bar buffer covers only a subset; no per-setup MTM computed,quant.db.bar_buffer (partial),n/a,not claimed either way
