session,date,event_id,ticker,direction_or_type,lane,source_channel,intended_route,publication,consumer_receipt,routing_disposition,outbox_state,send_attempt,api_ack,paper_outcome,notification_outcome,evidence_ref,confidence,notes
S2,2026-09-09,S2-SYS-REDIS-RECONNECT,,redis publisher timeout,system/admin,talonx_ingest.events.publisher,n/a,n/a,n/a,RECONNECTED,n/a,1 attempt (19s),n/a,n/a,n/a,results/prospective_2026-09-09/pre_eod_forensic/forensic_summary.json,HIGH,"07:58:54 BST timeout -> 07:59:13 BST reconnect; ~6.5h before US open; 0 intraday impact; redis_publish_failures=0"
S3,2026-09-10,S3-V2-NONE,,V2 cluster entry,V2 trading,v2_alert_outbox,official Telegram (deliver_outbox),NONE,n/a,NO_SIGNAL,empty (0 rows),none,none,"no paper entry (0 fresh eligible clusters; ABCL stale; 17 out-of-scope records dropped/tick; 8 in-scope kept)",none,results/task117_day3_eod_20260910T202656Z/db/v2_lane.db.postclose,HIGH,"307 ticks; execution_scope_count=39; last_delivery considered/sent/held/failed/ambiguous = 0/0/0/0/0"
S3,2026-09-10,S3-ORIG-INTRADAY-0PUB,,intraday technical,Original intraday,talonx:signals:quant,quant->brain->dispatch->telegram,0,0,ALL_SUPPRESSED,n/a,n/a,n/a,"0 trades",0,results/task117_day3_eod_20260910T202656Z/dashboard/section_original_quant.json,HIGH,"published_quant_signals_today=0; quant_to_brain_handoffs_today=0; dispatch_audit.alerts all-time=0; 15002 rejected_candidates today (14973 volatility + 18 confluence + 10 opening-blackout + 1 trend)"
S3,2026-09-10,S3-EXP-PUB-3-PRE1624,"SHOP,BLSH,SKHY",directional (BEARISH),Experimental,talonx:exp:*,INTERNAL ONLY,"3 WOULD_PASS directional alerts before 16:24:25Z",internal only,ISOLATED_BY_DESIGN,n/a,0,0,"no paper trade from these 3 (SHOP/BLSH/SKHY BEARISH -- shorts not taken)",0 (external blocked),results/task117_day3_eod_20260910T202656Z/db/exp_alerts.db.postclose,HIGH,"D4b59abb46caa1884 BLSH 15:22:13Z; D413bc8a90868ce7b SKHY 16:10:20Z; Da41dc4a614ccf296 SHOP 14:28:42Z. EXACT count match to the ping's 'Quant publications 3' at 16:24:25Z. Given the S2-proven comingling, these ARE the '3 quant publications'. NOT Original, NOT V2. Not dedup-suppressed."
S3,2026-09-10,S3-EXP-TRADES-3,"AMD,STX,SPCX",BUY (paper),Experimental,talonx:exp:* / experimental_paper.db,INTERNAL ONLY,3 experimental_trades,internal,DRY_RUN_HELD,n/a,0,0,"3 paper BUYs: AMD 16:51:26Z, STX 18:45:38Z, SPCX 19:29:45Z (all open, unrealized)",0 (external blocked),results/task117_day3_eod_20260910T202656Z/db/exp_alerts.db.postclose,HIGH,"admitted_by multiple:volatility+confluence(+rr); dispatch_log 3x trade RECORDED + 3x DRY_RUN_HELD; opened AFTER the 16:24Z cutoff so not part of the '3 publications'"
S3,2026-09-10,S3-ORIG-LT-HEADSUP-ORCL,ORCL,earnings heads-up,Original long-term,talonx:alerts:longterm,official Telegram,1,1 (talonx_dispatch.consumer),PUSHED,n/a,1,"'Earnings heads-up push sent for ORCL (reports 2026-09-10)' 08:45:10Z",n/a (informational),SENT (API-confirmed),results/task117_day3_eod_20260910T202656Z/logs/talonx_original.log,HIGH,"watchlist.upcoming_earnings ORCL heads_up_sent=1; NOT recorded in dispatch_audit.last_telegram_push (D7)"
S3,2026-09-10,S3-ORIG-LT7-ORCL,ORCL,hold_quality (info),Original long-term,talonx:alerts:longterm,official Telegram,1,1,RECORDED long_term_alert #LT7,outbox 9db24f03593be26d930b108e4f9b7b15,1,"telegram_sent=1 telegram_error=NULL 20:30:46.594Z",n/a (informational),SENT (API-confirmed),results/task117_day3_eod_20260910T202656Z/db/dispatch_audit.db.postclose,HIGH,"ORCL 8-K Item 2.02 accession 0001193125-26-387905 ingested 20:30:41Z; fair_value 175.00 MoS 12.6%"
S3,2026-09-10,S3-ORIG-LT8-ORCL,ORCL,hold_quality (info),Original long-term,talonx:alerts:longterm,official Telegram,1,1,RECORDED long_term_alert #LT8,outbox e004cc4223c605a69ea43ffde91bb8a7,1,"telegram_sent=1 telegram_error=NULL 20:30:49.719Z",n/a (informational),SENT (API-confirmed),results/task117_day3_eod_20260910T202656Z/db/dispatch_audit.db.postclose,HIGH,"SAME ORCL 8-K accession 0001193125-26-387905; second model pass; fair_value REVISED 175.00 -> 165.00, MoS 7.3%. Material update of the same event, not a distinct event and not an exact duplicate."
S3,2026-09-10,S3-EXP-EVENT-ORCL,ORCL,8-K Item 2.02 event,Experimental,exp_alerts.db event_updates,INTERNAL ONLY,1 event_update,internal,DRY_RUN_HELD (20:25:56Z),n/a,0,0,n/a,0 (external blocked),results/task117_day3_eod_20260910T202656Z/db/exp_alerts.db.postclose,HIGH,"significance band HIGH; source_event_id SEC:0001193125-26-387905:EARNINGS_RESULTS; held"
S3,2026-09-10,S3-INTEL-CARDS-23,"DELL,TSLA,WMT,AVGO,AFL,PG,V,ORCL,ADP,JPM",insider_transaction / earnings / quarterly,Intelligence,intelligence_delivery,official Telegram (Task-96 outbox),23 cards enqueued (19 IMMEDIATE + 4 DIGEST),enqueued,PENDING,PENDING,none,none,n/a,NOT SENT (outbox never drains),results/task117_day3_eod_20260910T202656Z/db/ingestion_ledger.db.postclose,HIGH,"see intelligence_delivery_audit.csv for per-card detail; 0 sent; matches all-time 9843 rows 100pct PENDING 0 SENT"
S3,2026-09-10,S3-SYS-SMOKETEST-710,,connectivity test,system/admin,manual OfficialExternalRouter,official Telegram,1,n/a,n/a,SENT,1,"telegram_message_id 710, api_result OK, 07:40:57Z",n/a (NOT a trading alert),SENT (API-confirmed; human receipt NOT claimed),results/task117_final_activation_20260910T072019Z/activation/telegram_smoke_test.json,HIGH,"label 'TalonX controlled paper-session connectivity test - no trading action'; destination DEST_A"
S3,2026-09-10,S3-PING-QUANTPUB-3,,aggregate counter,Original+Experimental (comingled),metrics:<date>:quant:* (Redis),n/a,"3 (ping @ 16:24:25Z)",n/a,see S3-EXP-PUB-3-PRE1624,n/a,n/a,n/a,n/a,n/a,results (mid-session ping text; S3 Redis metrics snapshot NOT preserved),MEDIUM,"The counter itself is not preserved. Reconstructed identity = the 3 Experimental WOULD_PASS directionals. Exact numeric closure UNRESOLVED (no S3 metrics:quant:* capture)."
