source_identity,raw_value,source_field,old_parser_version,existing_normalized_value,verified_proposed_value,evidence,confidence,dependent_records,classification
0001225208-26-007727|acceptance,persisted accepted_at_utc=2026-09-10T16:27:42+00:00  retrieved_at=2026-09-10T20:31:00.154109+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T16:27:42+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.06h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0001225208-26-007726|acceptance,persisted accepted_at_utc=2026-09-10T16:23:38+00:00  retrieved_at=2026-09-10T20:30:55.458161+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T16:23:38+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.12h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0001403161-26-000118|acceptance,persisted accepted_at_utc=2026-09-10T16:01:48+00:00  retrieved_at=2026-09-10T20:06:07.530905+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T16:01:48+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.07h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000165|acceptance,persisted accepted_at_utc=2026-09-10T14:34:53+00:00  retrieved_at=2026-09-10T18:41:27.777240+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:34:53+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.11h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000166|acceptance,persisted accepted_at_utc=2026-09-10T14:36:06+00:00  retrieved_at=2026-09-10T18:41:27.723691+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:36:06+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.09h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000161|acceptance,persisted accepted_at_utc=2026-09-10T14:28:59+00:00  retrieved_at=2026-09-10T18:35:53.728254+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:28:59+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.12h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000162|acceptance,persisted accepted_at_utc=2026-09-10T14:30:48+00:00  retrieved_at=2026-09-10T18:35:53.686355+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:30:48+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.08h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000163|acceptance,persisted accepted_at_utc=2026-09-10T14:32:11+00:00  retrieved_at=2026-09-10T18:35:53.638585+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:32:11+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.06h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0000080424-26-000164|acceptance,persisted accepted_at_utc=2026-09-10T14:33:42+00:00  retrieved_at=2026-09-10T18:35:53.591235+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T14:33:42+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.04h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0001104659-26-106570|acceptance,persisted accepted_at_utc=2026-09-10T09:15:29+00:00  retrieved_at=2026-09-10T13:18:14.845573+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-10T09:15:29+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +4.05h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0001886367-26-000025|acceptance,persisted accepted_at_utc=2026-09-09T21:10:05+00:00  retrieved_at=2026-09-10T07:44:51.439184+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-09T21:10:05+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +10.58h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
0002110304-26-000021|acceptance,persisted accepted_at_utc=2026-09-09T21:10:39+00:00  retrieved_at=2026-09-10T07:44:51.400827+00:00,data.sec.gov/submissions acceptanceDateTime (via the live service),edgar_normalize.parse_acceptance_datetime @ e1de6c1..48d2946 (Z->UTC),2026-09-09T21:10:39+00:00,UNKNOWN -- not corrected,persisted vs retrieved gap = +10.57h with a hard ~4.0h FLOOR across 14 same-session records (0 records < 0.5h). This is inconsistent with the SGML<->JSON cross-reference (which says submissions JSON is genuine UTC) -- the two raw-evidence sources DISAGREE for the S1-S3 live ingest. No live EDGAR for these 2026 accessions to break the tie.,LOW -- contradictory raw evidence,text_events.session_bucket (INSIDER path = UNKNOWN anyway); V2 date fallback (same ET calendar day either reading),UNRESOLVED
