category,item,verification_method,evidence,status
downstream_independence,Raw transport/Redis exception behaviour checked in actual application wiring (not outer-handler-only),fresh code read confirms THREE SEPARATE individually-guarded try/except blocks (notification/shadow/gemini-request) not one shared outer handler; rehearsal scenario 14 confirms Redis exception propagates rather than being silently swallowed,decision_engine.py _record_decision (re-read this task) + test_task78i_stage5_rehearsal.py::test_14 (re-run PASSED),VERIFIED
downstream_independence,Outbox states match actual adapter results; no false exactly-once claim,existing test + doc,test_task77i_notification_outbox.py (re-run PASSED) + alert_delivery_contract.md,VERIFIED
downstream_independence,No automatic Gemini follow-up notification unless implemented,fresh code read confirms none exists -- disclosed deliberate design in gemini_authority_boundary.md,gemini_enrichment.py + decision_engine.py (re-read -- no second enqueue call anywhere),VERIFIED
execution_ownership,Single execution ownership covers every mutating broker path,fresh code read -- gated at AlpacaPaperClient.submit_order/cancel_all_orders/close_all_positions (the only 3 mutating broker calls in the codebase),broker.py (re-read this task),VERIFIED
execution_ownership,Lock contention/crash tests use isolated fake-account state,fresh code read of test file -- ExecutionOwnership constructed against tmp_path lock dirs, never the real ~/.talonx_piv/locks,test_task78i_execution_ownership.py (re-read),VERIFIED
execution_ownership,Unknown/timed-out submissions require reconciliation before retry,existing tests,test_task77i_runtime_safety.py + test_task78i_stage5_rehearsal.py::test_10/test_12 (re-run PASSED),VERIFIED
execution_ownership,No duplicate entries/overselling/pyramiding/phantom partial-fill positions,existing tests,test_task76s_broker_boundary.py (re-run PASSED, 40 tests),VERIFIED
execution_ownership,Automatic EOD idempotent and linked to original live session,existing tests,test_task72o_eod_lifecycle.py (re-run PASSED, 22 tests),VERIFIED
execution_ownership,Completion requires verified broker/internal agreement -- not process-exit-alone,fresh code read of eod_lifecycle.run_eod_lifecycle -- STATUS_PASSED requires reconciliation matched AND zero broker orders/positions,eod_lifecycle.py (re-read),VERIFIED
execution_ownership,Broker mismatches/unexpected shorts block new execution,existing tests,test_task76s_broker_boundary.py::test_unexpected_short* (re-run PASSED),VERIFIED
execution_ownership,No automatic remediation invented for unknown exposure,fresh code read of lifecycle.reconcile() -- unexpected_short_detected flag set, never auto-closed,lifecycle.py reconcile() (re-read),VERIFIED
dashboard,Dashboard remains read-only,fresh code read of dashboard_web.py -- /piv/status is GET-only, zero write path,dashboard_web.py (re-read),VERIFIED
dashboard,PIV and legacy metrics have explicit scopes; not merged,fresh code read + test,test_task78i_dashboard_integration.py (re-run PASSED),VERIFIED
dashboard,Historical probe records excluded from current-session counters,fresh code read of observability.build_integrated_projection session_id scoping,observability.py (re-read),VERIFIED
dashboard,Zero trades not described as positive/negative profitability evidence,fresh review of reporting.py/observability.py output fields -- no profitability label exists anywhere in these modules,reporting.py + observability.py (re-read -- no such field),VERIFIED
scope,Current market-data path is REST polling not WebSocket,fresh code read of session_runner.fetch_bars_latest -- self.transport.get(...) synchronous REST GET,session_runner.py fetch_bars_latest (re-read),VERIFIED
scope,Historical warmup readiness and live IEX coverage are separate concepts,fresh code read -- freshness.py's own docstring explicitly distinguishes coverage_ratio from warmup.py's WarmupCheck.ready,freshness.py:153-160 (re-read),VERIFIED
scope,An absent aggregate bar does not itself prove no trades occurred,fresh code read of gap_forensics.py -- NO_IEX_BAR_OBSERVED is one of several distinct classifications requiring historical-archive cross-check evidence,gap_forensics.py (re-read),VERIFIED
